filename,0.001bar,0.002bar,0.005bar,0.01bar,0.02bar,0.05bar,0.1bar,0.2bar,0.5bar,1bar,LCD,Density_g_cm3,SA_m2_g,AV_cm3_g,Henry
ILIMUN_clean,0.000358854,0.000563125,0.001628644,0.003279372,0.006763015,0.01659561,0.033158096,0.067011816,0.160904546,0.301950672,6.19427,1.18958151,798.68,0.397619,3.40770E-06
ILINIC_clean,3.14418E-05,0.000110046,0.000239744,0.000495208,0.000933428,0.002269705,0.004704479,0.009082749,0.022482851,0.046040618,4.81641,3.152823283,557.309,0.183005,4.65363E-07
ILIQIF_clean,0.000110515,0.000316474,0.000833883,0.001396503,0.002963802,0.007615465,0.014874268,0.030250876,0.075195178,0.137937363,4.113,1.4544365,326.621,0.327965,1.51379E-06
ILITUT_manual,0.00043639,0.000621855,0.001560093,0.003272922,0.006578574,0.015109991,0.032609216,0.066025752,0.159336766,0.31582609,12.63372,0.491959812,4246.95,1.59769,3.23164E-06
ILOJOJ_clean,0.000375438,0.000808636,0.002046343,0.00378326,0.007892449,0.019576408,0.03803888,0.074922566,0.181852251,0.337630128,6.13171,1.278442526,652.704,0.367009,3.91846E-06
ILOSOS_clean,0.000163139,0.00036921,0.001013181,0.002155155,0.003992618,0.01039798,0.020735855,0.040930775,0.101652916,0.199467766,8.86399,1.095746847,1016.64,0.531492,2.07599E-06
ILOTOT_clean,0.000122804,0.000340502,0.000770316,0.001440157,0.002791001,0.007407317,0.014619264,0.028814296,0.072543701,0.138428074,4.12508,1.430088101,181.44,0.274808,1.51772E-06
ILUGOM_clean,0.000205169,0.000297285,0.000674126,0.001448743,0.002646259,0.006724512,0.014102215,0.027266515,0.065779629,0.125621924,7.1541,1.584055387,392.533,0.31211,1.39889E-06
IMACND_clean,0.000102773,0.000251793,0.000611498,0.001264105,0.002497379,0.006140674,0.012677023,0.025040589,0.065815692,0.128419735,4.34425,1.800672586,465.663,0.299779,1.31976E-06
IMAGAG_clean,0.000595763,0.001110285,0.003127754,0.005260314,0.01097422,0.028082088,0.056414668,0.108895947,0.274321653,0.528576934,5.63215,0.70959089,4008.23,0.99378,5.55029E-06
